"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"153" "E7_4" "E7" "54D_Bd" 4 0.143 "T0" 0 "9" "Bd" "54D" 0.1319 0.00328125992061993 0.0111
"154" "E8_4" "E8" "54D_Bd" 4 0.141 "T0" 0 "10" "Bd" "54D" 0.1319 0.00328125992061993 0.00909999999999997
"155" "E11_4" "E11" "54D_20D_Bd" 4 0.144 "T0" 0 "9" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.00639999999999999
"156" "E12_4" "E12" "54D_20D_Bd" 4 0.141 "T0" 0 "10" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.00339999999999999
"157" "G1_4" "G1" "54D_2F_Bd" 4 0.158 "T0" 0 "1" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0291
"158" "G2_4" "G2" "54D_2F_Bd" 4 0.15 "T0" 0 "3" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0211
"159" "G3_4" "G3" "54D_2F_Bd" 4 0.152 "T0" 0 "4" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0231
"160" "G4_4" "G4" "54D_2F_Bd" 4 0.144 "T0" 0 "5" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0151
"161" "G5_4" "G5" "54D_2F_Bd" 4 0.15 "T0" 0 "6" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0211
"162" "G6_4" "G6" "54D_2F_Bd" 4 0.146 "T0" 0 "7" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0171
"163" "G7_4" "G7" "54D_2F_Bd" 4 0.146 "T0" 0 "8" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0171
"164" "G8_4" "G8" "54D_2F_Bd" 4 0.149 "T0" 0 "9" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0201
"165" "G9_4" "G9" "54D_2F_Bd" 4 0.149 "T0" 0 "10" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0201
"166" "G10_4" "G10" "54D_2F_Bd" 4 0.153 "T0" 0 "2" "Bd" "54D_2F" 0.1289 0.00338132124077754 0.0241
"167" "H11_4" "H11" "Live_Bd" 4 0.127 "T0" 0 "8" "Bd" "Control" 0.1598 0.0147105404387466 -0.0328
"168" "H12_4" "H12" "Live_Bd" 4 0.128 "T0" 0 "10" "Bd" "Control" 0.1598 0.0147105404387466 -0.0318
"169" "A3_5" "A3" "54D_Jliv10_Bd" 5 0.16 "T0" 0 "1" "Bd" "54D_Jliv10" 0.1139 0.00338132124077753 0.0461
"170" "A4_5" "A4" "54D_Jliv10_Bd" 5 0.153 "T0" 0 "2" "Bd" "54D_Jliv10" 0.1139 0.00338132124077753 0.0391
"171" "A7_5" "A7" "54D_JlivBTP_Bd" 5 0.144 "T0" 0 "1" "Bd" "54D_JlivBTP" 0.1291 0.00334829973435939 0.0149
"172" "A8_5" "A8" "54D_JlivBTP_Bd" 5 0.148 "T0" 0 "2" "Bd" "54D_JlivBTP" 0.1291 0.00334829973435939 0.0189
"173" "A11_5" "A11" "Jliv10_Bd" 5 0.17 "T0" 0 "1" "Bd" "Jliv10" 0.1423 0.010392839415247 0.0277
"174" "A12_5" "A12" "Jliv10_Bd" 5 0.175 "T0" 0 "2" "Bd" "Jliv10" 0.1423 0.010392839415247 0.0327
"175" "B3_5" "B3" "54D_Jliv10_Bd" 5 0.151 "T0" 0 "3" "Bd" "54D_Jliv10" 0.1139 0.00338132124077753 0.0371
"176" "B4_5" "B4" "54D_Jliv10_Bd" 5 0.15 "T0" 0 "4" "Bd" "54D_Jliv10" 0.1139 0.00338132124077753 0.0361
"177" "B7_5" "B7" "54D_JlivBTP_Bd" 5 0.146 "T0" 0 "3" "Bd" "54D_JlivBTP" 0.1291 0.00334829973435939 0.0169
"178" "B8_5" "B8" "54D_JlivBTP_Bd" 5 0.144 "T0" 0 "4" "Bd" "54D_JlivBTP" 0.1291 0.00334829973435939 0.0149
"179" "B11_5" "B11" "Jliv10_Bd" 5 0.177 "T0" 0 "3" "Bd" "Jliv10" 0.1423 0.010392839415247 0.0347
"180" "B12_5" "B12" "Jliv10_Bd" 5 0.175 "T0" 0 "4" "Bd" "Jliv10" 0.1423 0.010392839415247 0.0327
"181" "C3_5" "C3" "54D_Jliv10_Bd" 5 0.143 "T0" 0 "5" "Bd" "54D_Jliv10" 0.1139 0.00338132124077753 0.0291
"182" "C4_5" "C4" "54D_Jliv10_Bd" 5 0.143 "T0" 0 "6" "Bd" "54D_Jliv10" 0.1139 0.00338132124077753 0.0291
