"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"112" "E8_3" "E8" "37E_2F_Bd" 3 0.125 "T0" 0 "10" "Bd" "37E_2F" 0.1339 0.00428044649799787 -0.00890000000000002
"113" "E11_3" "E11" "37E_54D_Bd" 3 0.143 "T0" 0 "9" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.00289999999999999
"114" "E12_3" "E12" "37E_54D_Bd" 3 0.152 "T0" 0 "10" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.0119
"115" "F11_3" "F11" "Live_Bd" 3 0.143 "T0" 0 "1" "Bd" "Control" 0.1417 0.00988882646671933 0.0013
"116" "F12_3" "F12" "Live_Bd" 3 0.148 "T0" 0 "2" "Bd" "Control" 0.1417 0.00988882646671933 0.0063
"117" "G1_3" "G1" "37E_Jliv10_Bd" 3 0.139 "T0" 0 "1" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.00720000000000001
"118" "G2_3" "G2" "37E_Jliv10_Bd" 3 0.141 "T0" 0 "3" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.00919999999999999
"119" "G3_3" "G3" "37E_Jliv10_Bd" 3 0.135 "T0" 0 "4" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.00320000000000001
"120" "G4_3" "G4" "37E_Jliv10_Bd" 3 0.146 "T0" 0 "5" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.0142
"121" "G5_3" "G5" "37E_Jliv10_Bd" 3 0.148 "T0" 0 "6" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.0162
"122" "G6_3" "G6" "37E_Jliv10_Bd" 3 0.136 "T0" 0 "7" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.00420000000000001
"123" "G7_3" "G7" "37E_Jliv10_Bd" 3 0.146 "T0" 0 "8" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.0142
"124" "G8_3" "G8" "37E_Jliv10_Bd" 3 0.149 "T0" 0 "9" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.0172
"125" "G9_3" "G9" "37E_Jliv10_Bd" 3 0.147 "T0" 0 "10" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.0152
"126" "G10_3" "G10" "37E_Jliv10_Bd" 3 0.146 "T0" 0 "2" "Bd" "37E_Jliv10" 0.1318 0.00421109645262767 0.0142
"127" "A3_4" "A3" "37E_JlivBTP_Bd" 4 0.127 "T0" 0 "1" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 0.00159999999999999
"128" "A4_4" "A4" "37E_JlivBTP_Bd" 4 0.127 "T0" 0 "2" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 0.00159999999999999
"129" "A7_4" "A7" "54D_Bd" 4 0.127 "T0" 0 "1" "Bd" "54D" 0.1279 0.00276686746259295 -0.000900000000000012
"130" "A8_4" "A8" "54D_Bd" 4 0.131 "T0" 0 "2" "Bd" "54D" 0.1279 0.00276686746259295 0.00309999999999999
"131" "A11_4" "A11" "54D_20D_Bd" 4 0.136 "T0" 0 "1" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.00370000000000001
"132" "A12_4" "A12" "54D_20D_Bd" 4 0.137 "T0" 0 "2" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.00470000000000001
"133" "B3_4" "B3" "37E_JlivBTP_Bd" 4 0.127 "T0" 0 "3" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 0.00159999999999999
"134" "B4_4" "B4" "37E_JlivBTP_Bd" 4 0.128 "T0" 0 "4" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 0.00259999999999999
"135" "B7_4" "B7" "54D_Bd" 4 0.136 "T0" 0 "3" "Bd" "54D" 0.1279 0.00276686746259295 0.0081
"136" "B8_4" "B8" "54D_Bd" 4 0.134 "T0" 0 "4" "Bd" "54D" 0.1279 0.00276686746259295 0.00609999999999999
"137" "B11_4" "B11" "54D_20D_Bd" 4 0.136 "T0" 0 "3" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.00370000000000001
"138" "B12_4" "B12" "54D_20D_Bd" 4 0.143 "T0" 0 "4" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.0107
"139" "C3_4" "C3" "37E_JlivBTP_Bd" 4 0.127 "T0" 0 "5" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 0.00159999999999999
"140" "C4_4" "C4" "37E_JlivBTP_Bd" 4 0.126 "T0" 0 "6" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 0.000599999999999989
"141" "C7_4" "C7" "54D_Bd" 4 0.139 "T0" 0 "5" "Bd" "54D" 0.1279 0.00276686746259295 0.0111
"142" "C8_4" "C8" "54D_Bd" 4 0.134 "T0" 0 "6" "Bd" "54D" 0.1279 0.00276686746259295 0.00609999999999999
"143" "C11_4" "C11" "54D_20D_Bd" 4 0.141 "T0" 0 "5" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.00869999999999999
"144" "C12_4" "C12" "54D_20D_Bd" 4 0.146 "T0" 0 "6" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.0137
"145" "D3_4" "D3" "37E_JlivBTP_Bd" 4 0.124 "T0" 0 "7" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 -0.00140000000000001
"146" "D4_4" "D4" "37E_JlivBTP_Bd" 4 0.125 "T0" 0 "8" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 -0.000400000000000011
"147" "D7_4" "D7" "54D_Bd" 4 0.129 "T0" 0 "7" "Bd" "54D" 0.1279 0.00276686746259295 0.00109999999999999
"148" "D8_4" "D8" "54D_Bd" 4 0.129 "T0" 0 "8" "Bd" "54D" 0.1279 0.00276686746259295 0.00109999999999999
"149" "D11_4" "D11" "54D_20D_Bd" 4 0.136 "T0" 0 "7" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.00370000000000001
"150" "D12_4" "D12" "54D_20D_Bd" 4 0.134 "T0" 0 "8" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.00170000000000001
